quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description,region_name
2019-07-01,335.0,640406,12.0,59.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2005-09-01,357.0,640406,5.0,52.5,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2007-09-01,357.0,640406,5.0,45.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2014-06-01,664.0,640406,2.0,50.0,,640406,HOTEL 1 NIGHT PRICE,London
2009-12-01,221.0,640406,10.0,40.0,,640406,HOTEL 1 NIGHT PRICE,North
2007-11-01,518.0,640406,2.0,280.79999,,640406,HOTEL 1 NIGHT PRICE,London
2019-03-01,14828.0,640406,3.0,70.0,,640406,HOTEL 1 NIGHT PRICE,South East
2008-03-01,465.0,640406,5.0,62.5,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2014-01-01,5021.0,640406,5.0,140.5,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2009-11-01,654.0,640406,2.0,241.5,,640406,HOTEL 1 NIGHT PRICE,London
2012-12-01,5108.0,640406,13.0,78.0,,640406,HOTEL 1 NIGHT PRICE,Northern Ireland
2022-04-01,5106.0,640406,9.0,112.5,,640406,HOTEL 1 NIGHT PRICE,North West
2013-03-01,5245.0,640406,2.0,65.0,,640406,HOTEL 1 NIGHT PRICE,London
2011-03-01,542.0,640406,2.0,113.0,,640406,HOTEL 1 NIGHT PRICE,London
2017-03-01,14598.0,640406,4.0,67.5,,640406,HOTEL 1 NIGHT PRICE,South West
2006-11-01,255.0,640406,6.0,60.5,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2005-06-01,460.0,640406,8.0,40.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2022-06-01,16111.0,640406,9.0,105.5,,640406,HOTEL 1 NIGHT PRICE,North West
2012-07-01,220.0,640406,10.0,50.0,,640406,HOTEL 1 NIGHT PRICE,North
2016-02-01,731.0,640406,3.0,79.0,,640406,HOTEL 1 NIGHT PRICE,South East
2008-06-01,528.0,640406,2.0,252.63,,640406,HOTEL 1 NIGHT PRICE,London
2006-02-01,255.0,640406,6.0,81.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2015-08-01,307.0,640406,12.0,256.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2020-09-01,15609.0,640406,2.0,65.0,,640406,HOTEL 1 NIGHT PRICE,London
2012-10-01,730.0,640406,3.0,100.0,,640406,HOTEL 1 NIGHT PRICE,South East
2022-07-01,167.0,640406,10.0,79.5,,640406,HOTEL 1 NIGHT PRICE,North
2023-05-01,5003.0,640406,8.0,93.989998,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2010-06-01,444.0,640406,8.0,45.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2006-09-01,239.0,640406,6.0,27.5,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2016-05-01,357.0,640406,5.0,69.989998,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2014-07-01,5004.0,640406,8.0,37.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
