Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
465,Toumani Camara,24,POR,PF,31,31,950,10.3,.530,.531,.144,7.9,12.8,10.3,8.6,2.1,1.4,15.1,13.3,0.3,0.4,0.8,.039,-2.2,-0.5,-2.7,-0.2,,camarto01
466,Jaylen Nowell,25,NOP,SG,8,0,168,7.8,.430,.370,.151,3.7,9.6,6.5,16.0,0.3,2.2,9.3,21.5,-0.2,0.0,-0.2,-0.068,-2.9,-2.8,-5.7,-0.2,,nowelja01
467,Xavier Tillman Sr.,26,BOS,C,21,1,168,4.6,.339,.528,.056,5.1,16.7,10.9,4.4,2.0,2.1,14.0,11.0,-0.3,0.3,0.0,.001,-6.3,0.3,-6.0,-0.2,,tillmxa01
468,Terry Rozier,30,MIA,PG,27,13,775,11.2,.515,.490,.182,2.9,12.5,7.7,14.4,1.2,1.5,11.3,20.2,0.0,0.8,0.7,.045,-1.8,-1.1,-2.9,-0.2,,roziete01
469,Yves Missi,20,NOP,C,33,27,891,16.6,.585,.005,.434,14.7,19.6,17.0,7.7,1.1,4.8,12.9,14.3,1.4,0.4,1.9,.100,-1.3,-1.4,-2.7,-0.2,,missiyv01
470,Jabari Walker,22,POR,SF,24,1,248,11.2,.506,.289,.237,8.9,23.0,15.7,7.6,1.6,1.1,13.4,16.2,0.0,0.2,0.2,.034,-3.2,-1.4,-4.6,-0.2,,walkeja01
471,Dario Šarić,30,DEN,C,10,3,136,5.3,.399,.475,.150,7.6,20.2,14.2,9.6,2.1,0.0,20.5,16.6,-0.3,0.1,-0.1,-0.045,-6.3,-0.8,-7.2,-0.2,,saricda01
472,Trey Jemison,25,NOP,C,16,0,166,9.6,.461,.000,.656,13.8,15.2,14.5,8.2,2.0,3.4,19.5,13.0,-0.1,0.1,0.0,.005,-5.7,-0.6,-6.3,-0.2,,jemistr01
473,Josh Richardson,31,MIA,SG,8,0,150,4.5,.402,.579,.105,4.4,4.3,4.4,10.8,2.6,0.6,16.8,14.0,-0.2,0.2,-0.1,-0.016,-7.1,0.2,-6.9,-0.2,,richajo01
474,Andre Drummond,31,PHI,C,25,14,483,15.0,.532,.064,.414,15.8,33.6,24.2,4.5,3.1,2.1,20.2,18.9,-0.2,0.9,0.8,.075,-3.3,-0.2,-3.5,-0.2,,drumman01
475,Julian Strawther,22,DEN,SG,32,0,666,11.2,.586,.507,.227,1.7,9.5,5.8,8.1,1.6,1.6,9.8,17.3,0.6,0.4,1.0,.070,-2.2,-0.9,-3.1,-0.2,,strawju01
476,Julian Phillips,21,CHI,SF,33,3,453,9.5,.542,.598,.236,6.3,8.9,7.6,4.3,1.8,1.5,9.1,14.2,0.2,0.3,0.5,.048,-2.9,-0.8,-3.7,-0.2,,phillju01
477,Gary Trent Jr.,26,MIL,SG,29,7,726,9.9,.576,.638,.114,0.8,8.6,4.8,5.0,2.0,0.1,7.3,15.7,0.3,0.7,1.0,.065,-2.9,-0.1,-3.0,-0.2,,trentga02
478,Jusuf Nurkić,30,PHO,C,23,23,558,12.9,.550,.361,.419,8.9,34.3,21.8,11.0,1.9,2.5,22.4,18.7,-0.2,0.8,0.6,.048,-3.7,0.3,-3.5,-0.2,,nurkiju01
479,Dillon Jones,23,OKC,SF,25,0,204,6.9,.405,.590,.164,8.3,14.8,11.6,10.4,0.9,1.0,10.9,15.3,-0.1,0.3,0.2,.046,-4.8,-1.2,-6.0,-0.2,,jonesdi01
480,Herbert Jones,26,NOP,SF,16,16,527,11.1,.538,.404,.247,4.4,9.8,7.0,14.1,2.9,1.2,15.6,15.3,0.1,0.2,0.3,.031,-3.3,-0.3,-3.7,-0.2,,joneshe01
481,Dejounte Murray,28,NOP,PG,17,17,576,12.4,.452,.330,.198,1.3,20.7,10.5,34.0,3.5,1.3,18.9,26.8,-1.1,0.5,-0.6,-0.051,-3.3,-0.2,-3.5,-0.2,,murrade01
482,Ziaire Williams,23,BRK,SF,21,7,459,11.0,.507,.415,.277,5.6,18.6,11.9,8.0,2.2,1.6,9.6,19.0,0.0,0.4,0.4,.040,-3.6,-0.4,-3.9,-0.2,,willizi02
483,Dalen Terry,22,CHI,SG,31,1,428,8.7,.581,.385,.375,4.7,6.8,5.7,10.1,1.8,1.6,20.0,13.6,0.1,0.2,0.3,.034,-4.0,-0.4,-4.4,-0.3,,terryda01
484,Tim Hardaway Jr.,32,DET,SG,30,30,821,9.2,.573,.663,.221,1.0,7.2,4.1,8.0,0.6,0.0,7.1,14.8,0.8,0.2,1.0,.061,-1.7,-1.6,-3.3,-0.3,,hardati02
485,Maxi Kleber,33,DAL,PF,22,3,424,4.2,.471,.431,.235,3.4,14.1,9.0,5.3,0.7,2.3,22.1,7.3,-0.2,0.4,0.2,.024,-5.1,0.3,-4.8,-0.3,,klebima01
486,Ja'Kobe Walter,20,TOR,SG,19,7,384,9.4,.489,.473,.220,5.1,10.1,7.6,11.3,1.2,1.5,9.9,19.7,0.0,0.1,0.0,.005,-3.2,-1.8,-5.0,-0.3,,walteja01
487,Kevin Porter Jr.,24,LAC,SG,29,1,576,10.8,.466,.275,.185,3.9,16.5,10.2,24.5,2.4,1.2,17.9,27.2,-1.1,0.9,-0.3,-0.022,-4.1,-0.1,-4.2,-0.3,,porteke02
488,Ron Holland,19,DET,SF,33,1,516,10.0,.546,.349,.209,3.7,17.1,10.4,6.1,1.4,0.9,13.4,18.0,-0.1,0.4,0.4,.033,-3.9,-0.7,-4.6,-0.3,,hollaro01
489,Tidjane Salaün,19,CHO,PF,28,8,538,7.3,.438,.637,.164,5.6,19.1,12.1,8.4,1.5,1.1,12.8,14.1,-0.4,0.5,0.1,.010,-4.3,-0.3,-4.6,-0.3,,salauti01
490,Matas Buzelis,20,CHI,SF,32,0,419,9.4,.481,.500,.179,4.5,16.6,10.6,5.4,1.0,5.4,10.1,18.6,-0.4,0.4,0.0,.000,-4.4,-0.9,-5.4,-0.4,,buzelma01
491,Kyle Kuzma,29,WAS,PF,14,12,373,9.9,.487,.316,.192,2.5,18.2,10.3,13.5,0.9,0.7,12.9,26.7,-0.7,0.1,-0.6,-0.075,-3.5,-2.4,-5.9,-0.4,,kuzmaky01
492,Scoot Henderson,20,POR,PG,25,3,645,11.3,.498,.355,.291,2.6,9.4,5.9,29.5,2.2,0.9,18.9,22.5,-0.3,0.2,-0.1,-0.006,-2.7,-1.6,-4.4,-0.4,,hendesc01
493,Jordan Hawkins,22,NOP,SG,18,3,442,10.2,.499,.563,.221,1.7,12.2,6.7,6.4,0.9,2.3,7.5,21.5,-0.1,0.0,-0.1,-0.012,-2.1,-3.3,-5.4,-0.4,,hawkijo01
494,Corey Kispert,25,WAS,SF,26,0,701,10.2,.564,.610,.129,1.8,10.6,6.2,8.6,0.9,0.6,9.9,17.3,0.2,0.0,0.2,.014,-1.9,-2.2,-4.2,-0.4,,kispeco01
