series,date,share,label
Japanese Yen,2006-10-01,0.03425339125410235,Other
Pounds Sterling,2006-10-01,0.044985670100713804,Other
Australian Dollars,2006-10-01,,Other
Canadian Dollars,2006-10-01,,Other
Swiss Francs,2006-10-01,0.0017571881664000444,Other
U.S. Dollars,2007-01-01,0.648897958407549,US Dollar
Euro,2007-01-01,0.2529647041921253,Other
Chinese Renminbi,2007-01-01,,Chinese Renminbi
Japanese Yen,2007-01-01,0.031078494429017264,Other
Pounds Sterling,2007-01-01,0.04572592470831004,Other
Australian Dollars,2007-01-01,,Other
Canadian Dollars,2007-01-01,,Other
Swiss Francs,2007-01-01,0.001750802981787153,Other
U.S. Dollars,2007-04-01,0.6487953654145262,US Dollar
Euro,2007-04-01,0.2516726326866517,Other
Chinese Renminbi,2007-04-01,,Chinese Renminbi
Japanese Yen,2007-04-01,0.030600210464968157,Other
Pounds Sterling,2007-04-01,0.047444282106906,Other
Australian Dollars,2007-04-01,,Other
Canadian Dollars,2007-04-01,,Other
Swiss Francs,2007-04-01,0.0015367436945150676,Other
U.S. Dollars,2007-07-01,0.6390614217992111,US Dollar
Euro,2007-07-01,0.26007252681090676,Other
Chinese Renminbi,2007-07-01,,Chinese Renminbi
Japanese Yen,2007-07-01,0.029485083522631107,Other
Pounds Sterling,2007-07-01,0.04838747638420422,Other
Australian Dollars,2007-07-01,,Other
Canadian Dollars,2007-07-01,,Other
Swiss Francs,2007-07-01,0.0016042196939750908,Other
U.S. Dollars,2007-10-01,0.6387618191233992,US Dollar
Euro,2007-10-01,0.2613041698142879,Other
Chinese Renminbi,2007-10-01,,Chinese Renminbi
Japanese Yen,2007-10-01,0.03178631682834232,Other
Pounds Sterling,2007-10-01,0.04825032450631435,Other
Australian Dollars,2007-10-01,,Other
Canadian Dollars,2007-10-01,,Other
Swiss Francs,2007-10-01,0.0015514510721919951,Other
U.S. Dollars,2008-01-01,0.6293783679698793,US Dollar
Euro,2008-01-01,0.2654336168911425,Other
Chinese Renminbi,2008-01-01,,Chinese Renminbi
Japanese Yen,2008-01-01,0.033660996263817015,Other
Pounds Sterling,2008-01-01,0.04806853400813448,Other
Australian Dollars,2008-01-01,,Other
Canadian Dollars,2008-01-01,,Other
Swiss Francs,2008-01-01,0.0015056094185658588,Other
U.S. Dollars,2008-04-01,0.6259009046849736,US Dollar
Euro,2008-04-01,0.2661187946234332,Other
Chinese Renminbi,2008-04-01,,Chinese Renminbi
Japanese Yen,2008-04-01,0.0356483027516559,Other
Pounds Sterling,2008-04-01,0.04874337718646716,Other
Australian Dollars,2008-04-01,,Other
Canadian Dollars,2008-04-01,,Other
Swiss Francs,2008-04-01,0.0015951972439842254,Other
U.S. Dollars,2008-07-01,0.6416924311978485,US Dollar
Euro,2008-07-01,0.25319996651837046,Other
Chinese Renminbi,2008-07-01,,Chinese Renminbi
