player,id,VORP,best,category,surname
Jalen Bridges,PHO,-0.1,0,other,Bridges
Moussa Diabaté,CHO,-0.1,0,other,Diabaté
Taj Gibson,CHO,-0.1,0,other,Gibson
Colby Jones,SAC,-0.1,0,other,Jones
Bogdan Bogdanović,ATL,-0.1,0,other,Bogdanović
Gui Santos,GSW,-0.1,0,other,Santos
Delon Wright,MIL,-0.1,0,other,Wright
Ariel Hukporti,NYK,-0.1,0,other,Hukporti
Reed Sheppard,HOU,-0.1,0,other,Sheppard
Adem Bona,PHI,-0.1,0,other,Bona
Oso Ighodaro,PHO,-0.1,0,other,Ighodaro
Trey Alexander,DEN,-0.1,0,other,Alexander
Damion Lee,PHO,-0.1,0,other,Lee
Dalton Knecht,LAL,-0.1,0,other,Knecht
Cam Reddish,LAL,-0.1,0,other,Reddish
Keaton Wallace,ATL,-0.1,0,other,Wallace
Noah Clowney,BRK,-0.1,0,other,Clowney
Antonio Reeves,NOP,-0.1,0,other,Reeves
Kris Murray,POR,-0.1,0,other,Murray
Gradey Dick,TOR,-0.1,0,other,Dick
Coby White,CHI,-0.1,0,other,White
Caleb Houstan,ORL,-0.1,0,other,Houstan
Nick Smith Jr.,CHO,-0.1,0,other,Smith
Pat Connaughton,MIL,-0.1,0,other,Connaughton
Tristan Da Silva,ORL,-0.1,0,other,Da
Jeremiah Robinson-Earl,NOP,-0.1,0,other,Robinson-Earl
Kessler Edwards,DAL,-0.1,0,other,Edwards
Cole Anthony,ORL,-0.1,0,other,Anthony
Kevin Huerter,SAC,-0.1,0,other,Huerter
Alex Sarr,WAS,-0.1,0,other,Sarr
Javonte Green,NOP,-0.1,0,other,Green
Johnny Juzang,UTA,-0.1,0,other,Juzang
Jaylon Tyson,CLE,-0.1,0,other,Tyson
Taurean Prince,MIL,-0.1,0,other,Prince
Christian Koloko,LAL,-0.1,0,other,Koloko
Pelle Larsson,MIA,-0.1,0,other,Larsson
Lindy Waters III,GSW,-0.1,0,other,Waters
Ausar Thompson,DET,-0.1,0,other,Thompson
Anthony Black,ORL,-0.1,0,other,Black
MarJon Beauchamp,MIL,-0.1,0,other,Beauchamp
Trendon Watford,BRK,-0.1,0,other,Watford
KJ Simpson,CHO,-0.1,0,other,Simpson
Rayan Rupert,POR,-0.1,0,other,Rupert
Jordan Miller,LAC,-0.1,0,other,Miller
Armel Traoré,LAL,-0.1,0,other,Traoré
Doug McDermott,SAC,-0.1,0,other,McDermott
