,location_name,id,year,val,upper,lower
37672,Rhode Island,44,2011,79.7631736516668,80.1717829737483,79.4042921743541
37678,South Carolina,45,2011,76.8869156295899,77.0967088790546,76.6706058014758
37725,South Dakota,46,2011,79.0790691213804,79.4431520372786,78.7006808245513
37794,Tennessee,47,2011,76.2354359978883,76.4122221781402,76.0537676594124
37890,Texas,48,2011,78.5144344328953,78.6065233044954,78.4145629570575
38145,Utah,49,2011,79.7957961712313,80.0550578671324,79.5562008364468
38175,Vermont,50,2011,80.0207539191828,80.4144741710851,79.6206621485613
38190,Virginia,51,2011,78.9614790917156,79.1313561365184,78.787871760312
38327,Washington,53,2011,79.9819636154165,80.1740474107082,79.7952604040875
38367,West Virginia,54,2011,75.2023897469715,75.5242757566088,74.9057081236978
38423,Wisconsin,55,2011,79.4659481885612,79.6846711632209,79.2534503927979
38496,Wyoming,56,2011,78.1950740985539,78.5967058787671,77.8164295966474
38521,Alabama,1,2012,75.3581424513398,75.5562915671455,75.1508458508799
38589,Alaska,2,2012,78.4752488040054,78.8406719950844,78.1147157828909
38628,Arizona,4,2012,79.491917628019,79.6842858394275,79.2947767734229
38644,Arkansas,5,2012,75.8243120807562,76.0821081738022,75.5876368542545
38720,California,6,2012,80.8297155864657,80.9141901997215,80.7423294341024
38779,Colorado,8,2012,80.128931037353,80.3370930516591,79.903616913689
38844,Connecticut,9,2012,80.8915422473089,81.1617361893211,80.6218135746925
38853,Delaware,10,2012,78.5941227866795,78.9420605639254,78.2608797238441
38857,District of Columbia,11,2012,77.5720523050822,78.0375763974298,77.1179941846309
38859,Florida,12,2012,79.6504762661564,79.761873180128,79.5407883514315
38928,Georgia,13,2012,77.6118252699932,77.756077025456,77.4665832492907
39088,Hawaii,15,2012,81.3588245820256,81.6768794033646,81.0215182084226
39094,Idaho,16,2012,79.1945148446848,79.5168415939219,78.8680119417569
39139,Illinois,17,2012,79.0811604965667,79.2265699817048,78.9430550250951
39242,Indiana,18,2012,77.3397142073443,77.5272997867856,77.158219096697
39335,Iowa,19,2012,79.5699904182188,79.8342025076422,79.3046899017729
39435,Kansas,20,2012,78.4919803350822,78.7640008208301,78.2253090684586
39541,Kentucky,21,2012,75.7383690249983,75.9451095598828,75.5278437329205
39662,Louisiana,22,2012,75.665657183775,75.8748855471939,75.4613035647136
39727,Maine,23,2012,79.238011614069,79.5836526619311,78.8987028719087
39744,Maryland,24,2012,79.2716939174328,79.4686660848944,79.0667196452394
39769,Massachusetts,25,2012,80.6774109666743,80.866643967398,80.4794101603194
39784,Michigan,26,2012,78.1504776027483,78.318035197077,77.9948633651033
39868,Minnesota,27,2012,80.8027446053253,81.0283679650818,80.5803500405901
39956,Mississippi,28,2012,74.9194837947491,75.1723513032526,74.6854328414586
40039,Missouri,29,2012,77.6325389590874,77.8187155839285,77.4283085647427
40155,Montana,30,2012,78.7047614337755,79.0690966988057,78.3268928836602
40213,Nebraska,31,2012,79.4896187405459,79.8051472187607,79.1730611106127
40307,Nevada,32,2012,78.217399623702,78.4659933396095,77.9592359337526
40325,New Hampshire,33,2012,80.1840148573964,80.5292948063552,79.8405102711003
40336,New Jersey,34,2012,80.19859151665,80.3759217699877,80.0300729067686
40358,New Mexico,35,2012,78.2786196924728,78.5899245816806,77.9419323772665
40392,New York,36,2012,80.5844686884232,80.7056753411322,80.4710418625665
40455,North Carolina,37,2012,77.9496732970937,78.1123647626571,77.794129521235
40556,North Dakota,38,2012,79.7910214112895,80.1601666190524,79.4083172667966
40610,Ohio,39,2012,77.5160036966917,77.6552943367637,77.3802687229607
40699,Oklahoma,40,2012,75.8642115800519,76.1048078730127,75.6263818035248
40777,Oregon,41,2012,79.6056154411247,79.8304694873283,79.3608793802055
40814,Pennsylvania,42,2012,78.5119332227181,78.6487178255302,78.3826097901353
40882,Rhode Island,44,2012,79.9695094899303,80.3257826367335,79.6161015669784
40888,South Carolina,45,2012,76.9338271674144,77.1345840188944,76.7163957424568
40935,South Dakota,46,2012,79.1410033048719,79.4870591422692,78.7547295930403
41004,Tennessee,47,2012,76.2129859139645,76.3790086101848,76.0372561615959
41100,Texas,48,2012,78.4730980201497,78.5694395345219,78.3805457345951
41355,Utah,49,2012,79.7597128242488,80.0104503403378,79.5222607445792
41385,Vermont,50,2012,79.6273044652188,80.0059032397407,79.250684311243
41400,Virginia,51,2012,79.1214547688921,79.2907276884815,78.9589882400865
41537,Washington,53,2012,80.0572364269875,80.2378531688942,79.8552085535542
