RegionID,SizeRank,name,RegionType,StateName,date,zori,lat,lng,rank
394405,156,"Boulder, CO",msa,CO,2015-05-31,1608.1158178350074,40.0248,-105.2524,16.0
395061,175,"San Luis Obispo, CA",msa,CA,2015-05-31,1610.2169132770664,35.2669,-120.669,15.0
395065,183,"Santa Cruz, CA",msa,CA,2015-05-31,2042.0955968328192,36.9789,-122.0346,4.0
394913,1,"New York, NY",msa,NY,2015-06-30,2395.172641966325,40.6943,-73.9249,3.0
753899,2,"Los Angeles, CA",msa,CA,2015-06-30,1892.6771382533009,34.1141,-118.4068,9.0
395209,6,"Washington, DC",msa,VA,2015-06-30,1764.6898646949944,38.9047,-77.0163,10.0
394856,8,"Miami, FL",msa,FL,2015-06-30,1539.027218255065,25.784,-80.2101,18.0
394404,10,"Boston, MA",msa,MA,2015-06-30,2041.923261391713,42.3188,-71.0852,4.0
395057,12,"San Francisco, CA",msa,CA,2015-06-30,2439.5246087105324,37.7558,-122.4449,2.0
395056,17,"San Diego, CA",msa,CA,2015-06-30,1720.856723886156,32.8313,-117.1222,13.0
395059,36,"San Jose, CA",msa,CA,2015-06-30,2672.309274647186,37.3012,-121.848,1.0
753924,55,"Urban Honolulu, HI",msa,HI,2015-06-30,1943.071366382626,,,7.0
394415,60,"Bridgeport, CT",msa,CT,2015-06-30,1747.1018780767329,41.1918,-73.1954,11.0
394952,71,"Oxnard, CA",msa,CA,2015-06-30,1895.976085434384,34.1964,-119.1815,8.0
395068,112,"Santa Rosa, CA",msa,CA,2015-06-30,1729.969959600585,38.4458,-122.7067,12.0
395183,123,"Vallejo, CA",msa,CA,2015-06-30,1477.6086235953708,38.1125,-122.2342,20.0
753917,124,"Santa Maria, CA",msa,CA,2015-06-30,1952.8191390607144,34.9333,-120.4431,6.0
395050,125,"Salinas, CA",msa,CA,2015-06-30,1487.8203163863216,36.6883,-121.6317,19.0
395164,142,"Trenton, NJ",msa,NJ,2015-06-30,1561.8130924149584,40.2237,-74.7641,17.0
394901,147,"Naples, FL",msa,FL,2015-06-30,1656.6402310701528,26.1504,-81.7936,14.0
394405,156,"Boulder, CO",msa,CO,2015-06-30,1633.009997002769,40.0248,-105.2524,15.0
395061,175,"San Luis Obispo, CA",msa,CA,2015-06-30,1612.629791181835,35.2669,-120.669,16.0
395065,183,"Santa Cruz, CA",msa,CA,2015-06-30,2037.930395056378,36.9789,-122.0346,5.0
394913,1,"New York, NY",msa,NY,2015-07-31,2405.6303586489585,40.6943,-73.9249,3.0
753899,2,"Los Angeles, CA",msa,CA,2015-07-31,1906.6981475539983,34.1141,-118.4068,8.0
395209,6,"Washington, DC",msa,VA,2015-07-31,1768.8330385941504,38.9047,-77.0163,10.0
394856,8,"Miami, FL",msa,FL,2015-07-31,1548.3214900409353,25.784,-80.2101,18.0
394404,10,"Boston, MA",msa,MA,2015-07-31,2043.9361736125647,42.3188,-71.0852,5.0
395057,12,"San Francisco, CA",msa,CA,2015-07-31,2467.79212842686,37.7558,-122.4449,2.0
395056,17,"San Diego, CA",msa,CA,2015-07-31,1737.8636986199813,32.8313,-117.1222,13.0
395059,36,"San Jose, CA",msa,CA,2015-07-31,2710.825843641753,37.3012,-121.848,1.0
753924,55,"Urban Honolulu, HI",msa,HI,2015-07-31,1952.4630897689688,,,7.0
394415,60,"Bridgeport, CT",msa,CT,2015-07-31,1766.955790023212,41.1918,-73.1954,11.0
394952,71,"Oxnard, CA",msa,CA,2015-07-31,1902.238488518156,34.1964,-119.1815,9.0
395068,112,"Santa Rosa, CA",msa,CA,2015-07-31,1745.643849549428,38.4458,-122.7067,12.0
395183,123,"Vallejo, CA",msa,CA,2015-07-31,1485.6871369502146,38.1125,-122.2342,19.0
753917,124,"Santa Maria, CA",msa,CA,2015-07-31,1961.2448960337365,34.9333,-120.4431,6.0
395050,125,"Salinas, CA",msa,CA,2015-07-31,1484.695538980012,36.6883,-121.6317,20.0
395164,142,"Trenton, NJ",msa,NJ,2015-07-31,1563.857126322781,40.2237,-74.7641,17.0
394901,147,"Naples, FL",msa,FL,2015-07-31,1655.0025619469643,26.1504,-81.7936,14.0
394405,156,"Boulder, CO",msa,CO,2015-07-31,1651.776511003695,40.0248,-105.2524,15.0
395061,175,"San Luis Obispo, CA",msa,CA,2015-07-31,1627.8920376732276,35.2669,-120.669,16.0
395065,183,"Santa Cruz, CA",msa,CA,2015-07-31,2053.5684258041524,36.9789,-122.0346,4.0
394913,1,"New York, NY",msa,NY,2015-08-31,2415.5367562559127,40.6943,-73.9249,3.0
753899,2,"Los Angeles, CA",msa,CA,2015-08-31,1917.1206593731763,34.1141,-118.4068,8.0
395209,6,"Washington, DC",msa,VA,2015-08-31,1766.3812302895203,38.9047,-77.0163,11.0
394856,8,"Miami, FL",msa,FL,2015-08-31,1555.7285464635386,25.784,-80.2101,18.0
394404,10,"Boston, MA",msa,MA,2015-08-31,2038.9584795484056,42.3188,-71.0852,5.0
395057,12,"San Francisco, CA",msa,CA,2015-08-31,2490.9301361804714,37.7558,-122.4449,2.0
395056,17,"San Diego, CA",msa,CA,2015-08-31,1748.7930395937874,32.8313,-117.1222,13.0
395059,36,"San Jose, CA",msa,CA,2015-08-31,2723.8928838450506,37.3012,-121.848,1.0
753924,55,"Urban Honolulu, HI",msa,HI,2015-08-31,1955.543311178235,,,7.0
394415,60,"Bridgeport, CT",msa,CT,2015-08-31,1770.7370439045146,41.1918,-73.1954,10.0
394952,71,"Oxnard, CA",msa,CA,2015-08-31,1906.444850241735,34.1964,-119.1815,9.0
395068,112,"Santa Rosa, CA",msa,CA,2015-08-31,1759.750749157619,38.4458,-122.7067,12.0
395183,123,"Vallejo, CA",msa,CA,2015-08-31,1495.8927500294085,38.1125,-122.2342,20.0
753917,124,"Santa Maria, CA",msa,CA,2015-08-31,1973.5543251239897,34.9333,-120.4431,6.0
395050,125,"Salinas, CA",msa,CA,2015-08-31,1499.359092146267,36.6883,-121.6317,19.0
395164,142,"Trenton, NJ",msa,NJ,2015-08-31,1556.483991506129,40.2237,-74.7641,17.0
394901,147,"Naples, FL",msa,FL,2015-08-31,1675.3157542895055,26.1504,-81.7936,15.0
394405,156,"Boulder, CO",msa,CO,2015-08-31,1677.5965422242648,40.0248,-105.2524,14.0
395061,175,"San Luis Obispo, CA",msa,CA,2015-08-31,1637.9258216263763,35.2669,-120.669,16.0
395065,183,"Santa Cruz, CA",msa,CA,2015-08-31,2109.4709079336885,36.9789,-122.0346,4.0
394913,1,"New York, NY",msa,NY,2015-09-30,2419.478481197377,40.6943,-73.9249,3.0
753899,2,"Los Angeles, CA",msa,CA,2015-09-30,1927.1437027384832,34.1141,-118.4068,8.0
395209,6,"Washington, DC",msa,VA,2015-09-30,1765.3573962952548,38.9047,-77.0163,11.0
394856,8,"Miami, FL",msa,FL,2015-09-30,1566.986850937625,25.784,-80.2101,17.0
394404,10,"Boston, MA",msa,MA,2015-09-30,2026.1302270540536,42.3188,-71.0852,5.0
395057,12,"San Francisco, CA",msa,CA,2015-09-30,2508.4116484413503,37.7558,-122.4449,2.0
395056,17,"San Diego, CA",msa,CA,2015-09-30,1757.3815581361318,32.8313,-117.1222,13.0
