id,renters,year,burdened_renters,extreme_burdened_renters,burdened_renters_pct,extreme_burdened_renters_pct
6077,88757.0,2022,41977.0,23184.0,0.47294297914530686,0.26120756672713136
6079,43202.0,2022,21189.0,11961.0,0.4904634044720152,0.2768621823063747
6081,108774.0,2022,52194.0,26325.0,0.4798389320977439,0.2420155551878206
6083,74286.0,2022,39319.0,22137.0,0.5292921950300191,0.29799693078103545
6085,299111.0,2022,126220.0,63480.0,0.42198381202964785,0.2122289049884491
6087,38104.0,2022,19761.0,11708.0,0.5186069703968087,0.30726432920428304
6089,22839.0,2022,10502.0,5790.0,0.4598274880686545,0.2535137265204256
6095,56410.0,2022,31638.0,15766.0,0.5608580039000177,0.27948945222478283
6097,75043.0,2022,35576.0,18005.0,0.4740748637447863,0.2399291073118079
6099,67180.0,2022,34909.0,19421.0,0.5196338195891634,0.2890890145876749
6101,13325.0,2022,6476.0,3323.0,0.48600375234521576,0.24938086303939963
