date,name,total,total_ytd,multi_total,multi_total_ytd,pop_2023,lat,lng,zori,total_per_capita,total_ytd_per_capita,multi_total_per_capita,multi_total_ytd_per_capita,zori_yoy
2021-11-01,"Philadelphia, PA",1437.0,22438.0,1471.0,22924.0,6246160,40.0077,-75.1339,1632.189733,0.23006134969325154,3.5922871011949744,0.23550469408404526,3.6700949063104376,0.09762217469404155
2021-11-01,"Phoenix, AZ",4306.0,47005.0,4352.0,47367.0,5070110,33.5722,-112.0892,1768.650426,0.8492912382571581,9.271002009818327,0.8583640197155485,9.34240085520827,0.23929701394993197
2021-11-01,"Pittsburgh, PA",157.0,1868.0,159.0,1894.0,2422725,40.4397,-79.9763,1216.825633,0.06480306266703816,0.771032618229473,0.06562857938891124,0.7817643356138233,0.08138509260061055
2021-11-01,"Portland, OR",1195.0,14299.0,1215.0,14466.0,2508050,45.5371,-122.65,1695.25959,0.4764657801877953,5.70124200075756,0.4844401028687626,5.767827595143637,0.11757109144776345
2021-11-01,"Providence, RI",249.0,2125.0,253.0,2141.0,1677803,41.823,-71.4187,1729.36171,0.148408364986831,1.266537251393638,0.15079243510710139,1.2760735318747196,0.1188036093688225
2021-11-01,"Nashville, TN",2725.0,27598.0,2747.0,27806.0,2102573,36.1715,-86.7842,1711.552052,1.2960311009415606,13.125822504141354,1.306494471297786,13.224748914782031,0.1678395813668816
2021-11-01,"New York, NY",6070.0,51451.0,6214.0,52725.0,19498249,40.6943,-73.9249,2826.856503,0.31131000532406783,2.6387497667098208,0.3186952838688233,2.704088967168283,0.158613402523746
2021-11-01,"New Orleans, LA",326.0,4929.0,327.0,4956.0,962165,30.0687,-89.9288,1468.877157,0.33881922539273407,5.122821969204866,0.33985854817001243,5.150883684191381,0.11176049905318486
2021-11-01,"Oklahoma City, OK",568.0,7606.0,568.0,7615.0,1477926,35.4676,-97.5136,1205.299635,0.3843223544345251,5.146401105332743,0.3843223544345251,5.152490720103713,0.11710763149830283
2021-11-01,"Orlando, FL",1605.0,28845.0,1617.0,29120.0,2817933,28.4773,-81.337,1827.481694,0.5695664162348786,10.236226340370761,0.5738248567300925,10.333815601719417,0.21360189193524826
2021-12-01,"Grand Rapids, MI",189.0,2690.0,192.0,2728.0,1162950,42.9619,-85.6562,1340.103176,0.16251773507029538,2.313083107614257,0.16509738165871277,2.3457586310675436,0.10803145389984037
2021-12-01,"Denver, CO",3480.0,30004.0,3512.0,30360.0,3005131,39.762,-104.8758,1823.0757,1.1580194008181341,9.984256925904395,1.1686678550785308,10.102720979551307,0.13547792476862397
2021-12-01,"Detroit, MI",595.0,8615.0,607.0,8754.0,4342304,42.3834,-83.1024,1294.64605,0.13702403148190453,1.9839698003640462,0.13978754136053118,2.0159804564581383,0.12017605523290076
2021-12-01,"Jacksonville, FL",1611.0,22725.0,1613.0,22883.0,1713240,30.3322,-81.6749,1598.110676,0.9403235973944106,13.26434124816138,0.9414909761621255,13.356564170810861,0.21297522121534307
2021-12-01,"Kansas City, MO",1010.0,11234.0,1014.0,11332.0,2221343,39.1238,-94.5541,1229.507237,0.4546798941001007,5.057300921109436,0.4564806065519823,5.101418376180535,0.10290497953903976
2021-12-01,"Indianapolis, IN",1516.0,13085.0,1529.0,13177.0,2138468,39.7771,-86.1458,1319.339103,0.7089187212527848,6.118866403425256,0.7149978395748733,6.16188785616619,0.1212894775887492
2021-12-01,"Hartford, CT",168.0,1510.0,173.0,1565.0,1151543,41.7661,-72.6834,1553.747033,0.14589120857840307,1.3112840771035037,0.1502332088337127,1.3590460799119095,0.10795899390259933
2021-12-01,"Houston, TX",6885.0,69053.0,6958.0,69559.0,7510253,29.786,-95.3885,1556.560376,0.9167467460816566,9.194497176060512,0.9264667914649479,9.26187173721045,0.1100690079563651
2021-12-01,"Baltimore, MD",594.0,8008.0,598.0,8063.0,2834316,39.3051,-76.6144,1692.405357,0.209574373499638,2.8253730353284534,0.21098564874205983,2.844778069911753,0.11176188368280937
2021-12-01,"Birmingham, AL",203.0,3968.0,203.0,3974.0,1184290,33.5279,-86.7971,1256.964382,0.1714107186584367,3.3505306977176197,0.1714107186584367,3.355597024377475,0.10047100959811162
2021-12-01,"Boston, MA",2462.0,16449.0,2534.0,17062.0,4919179,42.3188,-71.0852,2499.215855,0.5004900207941203,3.343850671016444,0.5151266095419581,3.4684649613278964,0.13847546561418556
2021-12-01,"Austin, TX",4716.0,50772.0,4769.0,51309.0,2473275,30.3005,-97.7522,1745.422464,1.906783515783728,20.528246960002424,1.928212592615055,20.74536798374625,0.21601407050206256
2021-12-01,"Atlanta, GA",3460.0,39296.0,3516.0,39585.0,6307261,33.7628,-84.422,1767.391352,0.5485740957921355,6.2302796729039756,0.5574527516777885,6.2760998791710065,0.19710500527494856
2021-12-01,"Cleveland, OH",213.0,3311.0,214.0,3325.0,2063132,41.4764,-81.6805,1184.006102,0.10324109169941623,1.6048415709707378,0.10372579166044635,1.6116273704251594,0.11180008222526805
2021-12-01,"Columbus, OH",1022.0,11967.0,1042.0,12210.0,2180271,39.9862,-82.9855,1345.40665,0.46874906834976016,5.488767222056341,0.477922239941732,5.600221256898798,0.10085032690621465
2021-12-01,"Dallas, TX",4304.0,76909.0,4323.0,77457.0,8100037,32.7935,-96.7667,1647.508688,0.5313555975114682,9.494894899862803,0.5337012658090327,9.562548911813613,0.16759895886724352
2021-12-01,"Cincinnati, OH",577.0,8432.0,581.0,8558.0,2271479,39.1413,-84.506,1259.281009,0.2540195176798905,3.7121188441539634,0.25578048487351196,3.767589310753038,0.10467652415515505
2021-12-01,"Chicago, IL",935.0,18520.0,950.0,18787.0,9262825,41.8375,-87.6866,1701.758272,0.10094112757177211,1.999390034897561,0.10256050394992888,2.0282149344287514,0.09901587638141462
2021-12-01,"Buffalo, NY",129.0,1551.0,133.0,1591.0,1155604,42.9018,-78.8487,1130.257615,0.1116299355142419,1.342155271182862,0.11509132886352072,1.3767692046756501,0.11071573456962147
2021-12-01,"Charlotte, NC",1789.0,28309.0,1808.0,28576.0,2805115,35.2083,-80.8303,1604.410021,0.6377635141518262,10.091921365077724,0.6445368549952497,10.187104628508992,0.16508925092161175
2021-12-01,"Seattle, WA",3124.0,30967.0,3158.0,31343.0,4044837,47.6211,-122.3244,2016.037179,0.7723426185035391,7.655932735979224,0.7807483960416699,7.748890746400906,0.1529842558064991
2021-12-01,"St. Louis, MO",1019.0,8847.0,1042.0,8968.0,2796999,38.6359,-90.2451,1179.613597,0.36431904337470267,3.163032950673204,0.3725421424891464,3.206293602536147,0.09353478695365558
2021-12-01,"Richmond, VA",758.0,9579.0,770.0,9647.0,1349732,37.5295,-77.4756,1405.634586,0.5615929680855163,7.096964434421055,0.5704836219338358,7.147344806228199,0.13297218922521026
2021-12-01,"Riverside, CA",1337.0,15290.0,1367.0,15535.0,4688053,33.9381,-117.3949,2272.537502,0.2851930214952774,3.261481898775462,0.2915922665550069,3.3137424000965856,0.17267367283856472
2021-12-01,"Rochester, NY",117.0,1566.0,124.0,1600.0,1052087,43.168,-77.6162,1213.863523,0.11120753321730999,1.4884700599855334,0.11786097537561058,1.5207867790401364,0.08741507475597277
2021-12-01,"Sacramento, CA",1235.0,12105.0,1246.0,12205.0,2420608,38.5677,-121.4685,2109.507947,0.5102023954312305,5.000809713923114,0.5147467082650309,5.0421216487758445,0.13045723838139578
2021-12-01,"Salt Lake City, UT",1035.0,11485.0,1050.0,11616.0,1267864,40.7776,-111.9311,1528.035069,0.8163336130689096,9.058542556614904,0.8281645349974445,9.161865941457442,0.18941539603283974
2021-12-01,"San Antonio, TX",1121.0,22229.0,1125.0,22543.0,2703999,29.4632,-98.5238,1409.469276,0.4145711592348962,8.220787063900541,0.4160504497227995,8.33691136720095,0.13339471719567486
2021-12-01,"San Diego, CA",1034.0,9358.0,1064.0,9572.0,3269973,32.8313,-117.1222,2626.243752,0.3162105619832335,2.8617973298250474,0.32538494966166387,2.9272412952645173,0.16893179221521448
2021-12-01,"San Francisco, CA",1592.0,13524.0,1616.0,13791.0,4566961,37.7558,-122.4449,2863.649586,0.3485906711268172,2.961268992662736,0.3538458068724476,3.019732377832874,0.08680244837702422
2021-12-01,"San Jose, CA",812.0,4857.0,820.0,4910.0,1945767,37.3012,-121.848,3029.415449,0.4173161534757245,2.4961878786103373,0.42142764267252963,2.5234264945391716,0.07685171534630997
2021-12-01,"Washington, DC",2372.0,27075.0,2390.0,27348.0,6304975,38.9047,-77.0163,2105.233107,0.3762108493689507,4.294227970769115,0.37906573777057007,4.337527111527009,0.10759403059620842
2021-12-01,"Tampa, FL",1978.0,24826.0,1992.0,25011.0,3342963,27.9945,-82.4447,1851.945975,0.5916906648383485,7.426346028956947,0.5958785664094995,7.481686156861443,0.26054276284343714
2021-12-01,"Tucson, AZ",493.0,6075.0,498.0,6134.0,1063162,32.1541,-110.8787,1445.228127,0.4637110807195893,5.714086846595345,0.46841403285670485,5.7695816818133085,0.18888014672976516
2021-12-01,"Urban Honolulu, HI",103.0,1439.0,104.0,1450.0,989408,,,2392.933251,0.10410265532520457,1.4544050583783434,0.1051133607167114,1.4655228176849187,0.10194665070133979
2021-12-01,"Virginia Beach, VA",393.0,7299.0,394.0,7359.0,1787169,36.7335,-76.0435,1527.399625,0.2199008599634394,4.084112918252274,0.22046040413637433,4.117685568628373,0.15300034326490874
2021-12-01,"Raleigh, NC",1114.0,21649.0,1117.0,21787.0,1509231,35.8324,-78.6429,1618.731262,0.7381242500319699,14.34439128271285,0.7401120173121278,14.435828577600114,0.16798222118767892
2021-12-01,"Memphis, TN",362.0,5213.0,362.0,5227.0,1335674,35.1087,-89.9663,1342.369011,0.2710242169870792,3.902898461750397,0.2710242169870792,3.9133800613023833,0.14306882920662511
2021-12-01,"Miami, FL",3520.0,25350.0,3552.0,25629.0,6183199,25.784,-80.2101,2384.419883,0.5692846049431695,4.099819527076518,0.5744599195335619,4.144941801161503,0.2878725720237634
2021-12-01,"Milwaukee, WI",190.0,2958.0,195.0,2992.0,1560424,43.0642,-87.9675,1162.576532,0.12176177756814816,1.895638621297801,0.1249660348725731,1.9174275709678907,0.08072592444329674
2021-12-01,"Minneapolis, MN",2256.0,25742.0,2283.0,25967.0,3712020,44.9635,-93.2678,1518.930332,0.6077553461457642,6.934768670427422,0.615029013852296,6.995382567981854,0.057334013264860095
2021-12-01,"Louisville, KY",536.0,5546.0,543.0,5599.0,1365557,38.1663,-85.6485,1138.508931,0.3925138240293155,4.061346395646611,0.3976399374028327,4.100158396903241,0.08362014841057563
