name,pop_2023,most_recent_heat,most_recent_zori,most_recent_date,heat_1yc,zori_1yc,heat_2yc,zori_2yc,heat_3yc,zori_3yc,heat_4yc,zori_4yc,heat_5yc,zori_5yc
"Baltimore, MD",2834316,62.0,1899.632144,2024-09-30,-7.462686567164178,3.7561405919303135,-1.5873015873015872,6.7380487371281355,-7.462686567164178,12.561176758387955,-18.421052631578945,25.96042145187655,14.814814814814813,27.82418033865548
"Orlando, FL",2817933,44.0,2066.918191,2024-09-30,-12.0,1.4283627382376478,-12.0,2.319845981022551,-33.33333333333333,16.71272960799827,-22.807017543859647,37.62345020789509,-13.725490196078432,39.42477301362395
"Charlotte, NC",2805115,46.0,1805.813209,2024-09-30,-24.59016393442623,1.3707372300785614,-13.20754716981132,3.733120378649467,-36.986301369863014,15.15931174941953,-39.473684210526315,32.43917101928849,-13.20754716981132,36.29213558611693
"St. Louis, MO",2796999,63.0,1408.552671,2024-09-30,-10.0,5.242764606155565,-8.695652173913043,10.909040139152346,-10.0,21.13327647927487,-8.695652173913043,31.36701157684527,23.52941176470588,37.60535232585203
"San Antonio, TX",2703999,44.0,1487.862707,2024-09-30,-6.382978723404255,0.10874016758026712,-15.384615384615385,-0.381962830232289,-37.142857142857146,7.317580138627479,-32.30769230769231,20.102031069079494,-13.725490196078432,22.031246167333197
"Portland, OR",2508050,56.0,1884.693728,2024-09-30,-6.666666666666667,3.726931051975347,0.0,3.158706232151423,-30.0,11.852294903759311,-32.53012048192771,23.15984173384238,-1.7543859649122806,25.63207388521045
"Austin, TX",2473275,40.0,1751.890667,2024-09-30,0.0,-3.3025372600576706,5.263157894736842,-6.608883302341853,-44.44444444444444,1.0808088591383185,-54.02298850574713,21.339676722006743,-29.82456140350877,20.92904034485486
"Pittsburgh, PA",2422725,46.0,1400.261877,2024-09-30,-16.363636363636363,4.878026911845674,-4.166666666666666,8.025868193086245,-11.538461538461538,15.907630187345475,-23.333333333333332,24.59348396171758,15.0,28.865209293960753
"Sacramento, CA",2420608,62.0,2320.83085,2024-09-30,-10.144927536231885,3.4370940703465753,10.714285714285714,4.783014940956317,-18.421052631578945,10.635665436644144,-26.190476190476193,26.39261407804688,6.896551724137931,32.979602170817536
"Las Vegas, NV",2336573,54.0,1794.217118,2024-09-30,-11.475409836065573,2.7855391010333985,14.893617021276595,1.815595870546597,-22.857142857142858,6.789447472932493,-18.181818181818183,31.94211658235658,0.0,37.713238927779116
"Cincinnati, OH",2271479,54.0,1531.08069,2024-09-30,-16.923076923076923,5.9775195166905615,-8.47457627118644,11.603109751593653,-10.0,23.213515880205414,-25.0,35.03719900610592,-35.714285714285715,42.23419760108961
"Kansas City, MO",2221343,55.0,1479.004353,2024-09-30,-16.666666666666664,5.792246575876994,-12.698412698412698,10.352218271192507,-24.65753424657534,21.63877487898544,-28.57142857142857,31.45293567155592,0.0,38.950105692993425
"Columbus, OH",2180271,53.0,1599.485962,2024-09-30,-15.873015873015872,5.3229850429223236,-14.516129032258066,9.355079407867438,-28.37837837837838,19.880532136477164,-32.91139240506329,31.365051899917106,1.9230769230769231,37.68076634012645
"Indianapolis, IN",2138468,45.0,1564.241178,2024-09-30,-10.0,5.1975097831882,-8.16326530612245,8.994860796263836,-34.78260869565217,20.192180623982097,-31.818181818181817,33.93705697719247,-2.1739130434782608,42.47401899998146
"Nashville, TN",2102573,44.0,1898.956138,2024-09-30,-10.204081632653061,1.5412510583246388,-6.382978723404255,2.045360457620228,-47.61904761904761,12.667789278296684,-29.03225806451613,28.797853024356435,-10.204081632653061,31.35685599611662
"Cleveland, OH",2063132,65.0,1415.275439,2024-09-30,-5.797101449275362,7.201168698897295,10.16949152542373,11.9729830334837,1.5625,21.408249663793132,-5.797101449275362,32.12112899063484,58.536585365853654,40.09525969865811
