name,fips,lat,lng,pop_2023,date,zori,zori_1yc,zori_5yc
"Middlesex County, MA",25017,42.447845,-71.254598,1623952,2025-02-28,2963.5805795849724,0.02818384015967812,0.23872072849938708
"Philadelphia County, PA",42101,40.003523,-75.139476,1550542,2025-02-28,1753.6320300794737,0.03887639845132185,0.2242841952365131
"Sacramento County, CA",6067,38.568337,-121.381235,1584288,2025-02-28,2204.8095950986394,0.0326120147949438,0.31452041923351026
"Suffolk County, NY",36103,40.823365,-73.103278,1523170,2025-02-28,10064.818062265163,0.041915404267347744,0.3645679212491997
"Palm Beach County, FL",12099,26.616523,-80.143701,1533801,2025-02-28,2629.6876324035857,0.024502672712751306,0.5707222566330681
"Bronx County, NY",36005,40.849395,-73.882271,1356476,2025-02-28,2571.928047138047,0.05635264231744541,0.28863883303425886
"Hillsborough County, FL",12057,27.967264,-82.39857,1535564,2025-02-28,2162.8875803785363,0.03493158810695984,0.4973783707782926
"Orange County, FL",12095,28.526077,-81.388371,1471416,2025-02-28,2001.1259184883693,0.016228485044022634,0.36569078629446694
"Nassau County, NY",36059,40.716432,-73.603664,1381715,2025-02-28,3469.5476979775717,0.03800563691668524,0.302273344991397
"Franklin County, OH",39049,40.001224,-82.992171,1326063,2025-02-28,1474.1620401421997,0.05331374677488854,0.3592347993984859
"Oakland County, MI",26125,42.586862,-83.314039,1270426,2025-02-28,1648.4597915374686,0.04644129019805887,0.3035836695210947
"Hennepin County, MN",27053,44.976697,-93.361233,1258713,2025-02-28,1697.6941191825942,0.03223745373174891,0.1351058023747027
"Travis County, TX",48453,30.314282,-97.748216,1334961,2025-02-28,1681.5701551047068,-0.02023376704740787,0.1751896269311517
"Cuyahoga County, OH",39035,41.448408,-81.677451,1233088,2025-02-28,1392.3340659340658,0.06795970530524964,0.42622178797992505
"Allegheny County, PA",42003,40.447811,-79.971635,1224825,2025-02-28,1452.1361640222524,0.03453923213874277,0.2641501379445099
"Salt Lake County, UT",49035,40.638514,-111.927686,1185813,2025-02-28,1662.9583580474884,0.010072555848430476,0.32483415280780403
"Contra Costa County, CA",6013,37.93501,-122.024961,1155025,2025-02-28,2793.060564506235,0.0231888295124969,0.17693971373374806
"Fairfax County, VA",51059,38.844726,-77.25911,1141878,2025-02-28,2432.0831256915203,0.05465412272583836,0.26673193926010463
"Wake County, NC",37183,35.795346,-78.679962,1190275,2025-02-28,1714.1990385783065,0.009800001898301991,0.2971281169344746
"Mecklenburg County, NC",37119,35.225341,-80.819873,1163701,2025-02-28,1771.9752022680448,0.01635510454033362,0.3358859000971737
"Montgomery County, MD",24031,39.087069,-77.124126,1058474,2025-02-28,2296.4872904353,0.022324417630796844,0.21885687754572025
"Fulton County, GA",13121,33.832534,-84.396191,1079105,2025-02-28,1894.705097389662,0.0166191709362018,0.27891148125740983
"Collin County, TX",48085,33.112899,-96.690642,1195359,2025-02-28,1778.2510652642934,-0.005369064118003419,0.2704652093610109
"Pima County, AZ",4019,32.216427,-110.95803,1063162,2025-02-28,1552.418090982969,0.01358329422991722,0.42963472724046814
"Honolulu County, HI",15003,21.371521,-157.917219,989408,2025-02-28,2786.00511545038,0.049740674122272344,0.25358696544374015
"Fresno County, CA",6019,36.743848,-119.765291,1017162,2025-02-28,1994.8527852272664,0.041015974317314186,0.45260648292114114
"Saint Louis County, MO",29189,38.644521,-90.389519,987059,2025-02-28,1405.8062002235183,0.05832013908796818,0.40619888170092655
"Westchester County, NY",36119,41.038581,-73.80547,990817,2025-02-28,2963.1803332360855,0.03863560106024555,0.271008284027938
"Duval County, FL",12031,30.298646,-81.620436,1030822,2025-02-28,1627.4240294556564,0.018717233065572048,0.3693549713818567
"Marion County, IN",18097,39.788896,-86.136268,968460,2025-02-28,1421.0310941441287,0.05360499784516626,0.43959797628352804
