date,name,total,total_ytd,multi_total,multi_total_ytd,rt,multi_rt,zori,lat,lng,pop_2023,total_pc,total_ytd_pc,multi_total_pc,multi_total_ytd_pc,rt_pc,multi_rt_pc,zori_yoy,state,region,running_total,zori_index,running_total_per_10k
2024-03-01,"Columbus, OH",570.0,2892.0,30.0,1570.0,11974.0,6679.0,1400.322528985973,39.9862,-82.9855,2180271.0,0.2614353903711969,1.3264406121991257,0.0137597573879577,0.7200939699697881,5.491977832113531,3.0633806531389904,0.0509980697907073,OH,Midwest,26821.0,130.93227806780067,123.01681763413815
2024-04-01,"Columbus, OH",1238.0,4130.0,694.0,2264.0,12643.0,7215.0,1403.8941026260493,39.9862,-82.9855,2180271.0,0.5678193215430558,1.8942599337421813,0.3183090542414223,1.0384030242112106,5.798820421864988,3.3092216518038358,0.0463974042336159,OH,Midwest,27515.0,131.26622561438532,126.19990817655236
2024-05-01,"Columbus, OH",1009.0,5139.0,535.0,2799.0,12800.0,7341.0,1418.9076267292378,39.9862,-82.9855,2180271.0,0.4627865068149785,2.35704644055716,0.2453823400852463,1.2837853642964567,5.870829818861967,3.367012632833258,0.0472346729671193,OH,Midwest,28050.0,132.6700128647981,128.65373157740484
2024-06-01,"Columbus, OH",1992.0,7128.0,1544.0,4343.0,13293.0,7838.0,1429.3106092588398,39.9862,-82.9855,2180271.0,0.9136478905603936,3.2693183553787577,0.7081688469002247,1.9919542111966813,6.096948498604073,3.594965946893758,0.0407926357871137,OH,Midwest,29594.0,133.64270749271833,135.73542004640709
2024-07-01,"Columbus, OH",1086.0,8179.0,621.0,4964.0,13552.0,8075.0,1446.3955111382934,39.9862,-82.9855,2180271.0,0.49810321744407,3.751368522536877,0.2848269779307251,2.276781189127407,6.215741070720108,3.703668030258624,0.0463550334072229,OH,Midwest,30215.0,135.24017170352525,138.58368982571434
2024-08-01,"Columbus, OH",1099.0,9275.0,598.0,5562.0,13018.0,7553.0,1457.192760622821,39.9862,-82.9855,2180271.0,0.5040657789788517,4.254058325776933,0.2742778305999575,2.551059019727364,5.97081738921446,3.464248251708159,0.0482644668221436,OH,Midwest,30813.0,136.24973088907893,141.3264681317139
2024-09-01,"Columbus, OH",1168.0,10497.0,581.0,6165.0,12915.0,7284.0,1466.3623614176947,39.9862,-82.9855,2180271.0,0.5357132209711545,4.814539110046412,0.2664806347467814,2.827630143225315,5.9235755555158045,3.340869093796138,0.0507373712843048,OH,Midwest,31394.0,137.10710245612395,143.99127447918173
2024-10-01,"Columbus, OH",1087.0,11585.0,526.0,6691.0,13217.0,7563.0,1470.9280611057557,39.9862,-82.9855,2180271.0,0.4985618760236686,5.313559644649679,0.2412544128688589,3.068884556094174,6.06209044655458,3.468834837504145,0.0530824252450272,OH,Midwest,31920.0,137.53400229438063,146.4038186078703
2024-11-01,"Columbus, OH",521.0,12106.0,93.0,6784.0,12685.0,7000.0,1469.970391077791,39.9862,-82.9855,2180271.0,0.238961119970866,5.552520764620545,0.0426552479026689,3.1115398039968425,5.81808408220813,3.2106100571901384,0.0546418029786728,OH,Midwest,32013.0,137.44445869581446,146.830371086897
2024-12-01,"Columbus, OH",1314.0,13521.0,794.0,7695.0,13405.0,7556.0,1466.898043201904,39.9862,-82.9855,2180271.0,0.6026773735925488,6.201522654752552,0.3641749122012814,3.529377770011159,6.148318259519115,3.465624227446955,0.0539857752488737,OH,Midwest,32807.0,137.15718951455096,150.4721202089098
2020-01-01,"Jacksonville, FL",1004.0,1004.0,21.0,21.0,2826.0,341.0,1212.8148626408486,30.3322,-81.6749,1713240.0,0.5860241413929164,0.5860241413929164,0.0122574770610072,0.0122574770610072,1.6495061987812567,0.1990380798954028,,FL,Southeast,21.0,100.0,0.12257477061007215
2020-02-01,"Jacksonville, FL",1146.0,2167.0,291.0,312.0,3972.0,632.0,1216.9990907037643,30.3322,-81.6749,1713240.0,0.6689080339006794,1.2648548948191731,0.1698536107025285,0.1821110877635357,2.318414232681936,0.3688916905979314,,FL,Southeast,312.0,100.34500138411933,1.8211108776353577
2020-03-01,"Jacksonville, FL",1430.0,3585.0,482.0,796.0,5402.0,1114.0,1222.4882671593805,30.3322,-81.6749,1713240.0,0.8346758189162056,2.092526441129089,0.2813382830193084,0.4646167495505591,3.153090051598141,0.6502299736172399,,FL,Southeast,794.0,100.79759943718602,4.634493707828442
2020-04-01,"Jacksonville, FL",1215.0,4758.0,223.0,978.0,6617.0,1337.0,1230.0809092070403,30.3322,-81.6749,1713240.0,0.709182601386846,2.7771940883939203,0.1301627326002194,0.5708482174126217,3.862272652984988,0.7803927062174593,,FL,Southeast,1017.0,101.42363415044204,5.936121033830637
2020-05-01,"Jacksonville, FL",1176.0,5822.0,313.0,1291.0,7793.0,1650.0,1231.6731912385412,30.3322,-81.6749,1713240.0,0.686418715416404,3.398239592818286,0.1826947771473932,0.753542994560015,4.548691368401392,0.9630874833648524,,FL,Southeast,1330.0,101.5549222868715,7.763068805304568
2020-06-01,"Jacksonville, FL",1417.0,7385.0,368.0,1855.0,9210.0,2018.0,1234.1378534909493,30.3322,-81.6749,1713240.0,0.8270878569260582,4.310546099787537,0.2147976932595549,1.0827438070556372,5.37577922532745,1.1778851766244076,,FL,Southeast,1698.0,101.75814062862578,9.91104573790012
2020-07-01,"Jacksonville, FL",1420.0,8819.0,108.0,1963.0,10630.0,2126.0,1233.4906746419426,30.3322,-81.6749,1713240.0,0.8288389250776307,5.147556676239173,0.0630384534566085,1.145782260512246,6.20461815040508,1.240923630081016,,FL,Southeast,1806.0,101.70477891044915,10.541430272466203
2020-08-01,"Jacksonville, FL",1273.0,10067.0,16.0,1979.0,11903.0,2142.0,1243.6147811423436,30.3322,-81.6749,1713240.0,0.7430365856505802,5.876001027293316,0.0093390301417197,1.1551212906539656,6.947654736055661,1.2502626602227358,,FL,Southeast,1822.0,102.5395399949527,10.634820573883403
