name,date,zori,lat,lng,pop_2023
"Salt Lake City, UT",2015-04-01,981.8598135261326,40.7776,-111.9311,1267864.0
"Hartford, CT",2015-04-01,1128.408108954229,41.7661,-72.6834,1151543.0
"Buffalo, NY",2015-04-01,790.4909841394075,42.9018,-78.8487,1155604.0
"Birmingham, AL",2015-04-01,913.4328728293976,33.5279,-86.7971,1184290.0
"Grand Rapids, MI",2015-04-01,851.1819441048605,42.9619,-85.6562,1162950.0
"New York, NY",2015-05-01,2285.7351525710633,40.6943,-73.9249,19498249.0
"Los Angeles, CA",2015-05-01,1852.451917142924,34.1141,-118.4068,12799100.0
"Chicago, IL",2015-05-01,1425.9726437760146,41.8375,-87.6866,9262825.0
"Dallas, TX",2015-05-01,1120.217110549121,32.7935,-96.7667,8100037.0
"Houston, TX",2015-05-01,1237.8373065043634,29.786,-95.3885,7510253.0
"Washington, DC",2015-05-01,1716.9858524457322,38.9047,-77.0163,6304975.0
"Philadelphia, PA",2015-05-01,1256.0334622719072,40.0077,-75.1339,6246160.0
"Miami, FL",2015-05-01,1488.3627942109342,25.784,-80.2101,6183199.0
"Atlanta, GA",2015-05-01,1046.2507501678278,33.7628,-84.422,6307261.0
"Boston, MA",2015-05-01,2107.4931165240505,42.3188,-71.0852,4919179.0
"Phoenix, AZ",2015-05-01,970.0017524992086,33.5722,-112.0892,5070110.0
"San Francisco, CA",2015-05-01,2331.064399729059,37.7558,-122.4449,4566961.0
"Riverside, CA",2015-05-01,1346.778035417147,33.9381,-117.3949,4688053.0
"Detroit, MI",2015-05-01,876.0681546776202,42.3834,-83.1024,4342304.0
"Seattle, WA",2015-05-01,1398.1918642506,47.6211,-122.3244,4044837.0
"Minneapolis, MN",2015-05-01,1151.840006261894,44.9635,-93.2678,3712020.0
"San Diego, CA",2015-05-01,1703.1660962747465,32.8313,-117.1222,3269973.0
"Tampa, FL",2015-05-01,1086.5265892068885,27.9945,-82.4447,3342963.0
"Denver, CO",2015-05-01,1299.4637938893966,39.762,-104.8758,3005131.0
"Baltimore, MD",2015-05-01,1313.870924553213,39.3051,-76.6144,2834316.0
"St. Louis, MO",2015-05-01,879.8133290727274,38.6359,-90.2451,2796999.0
"Orlando, FL",2015-05-01,1148.6754960165083,28.4773,-81.337,2817933.0
"Charlotte, NC",2015-05-01,1044.4287014594413,35.2083,-80.8303,2805115.0
"San Antonio, TX",2015-05-01,1038.5037517470666,29.4632,-98.5238,2703999.0
