name,date,zori,lat,lng,pop_2023,state,region,zori_index
"Phoenix, AZ",2015-04-01,959.0672545515694,33.5722,-112.0892,5070110.0,AZ,Southwest,73.57219085563139
"San Francisco, CA",2015-04-01,2307.906710121289,37.7558,-122.4449,4566961.0,CA,West,81.89440324365746
"Riverside, CA",2015-04-01,1346.269826003122,33.9381,-117.3949,4688053.0,CA,West,77.06137620580195
"Detroit, MI",2015-04-01,875.7360403689189,42.3834,-83.1024,4342304.0,MI,Midwest,82.47131172196995
"Seattle, WA",2015-04-01,1380.636512128947,47.6211,-122.3244,4044837.0,WA,West,77.14962246147931
"Minneapolis, MN",2015-04-01,1160.2866460578684,44.9635,-93.2678,3712020.0,MN,Midwest,81.89142744627333
"San Diego, CA",2015-04-01,1699.1174529530329,32.8313,-117.1222,3269973.0,CA,West,79.05944439654479
"Tampa, FL",2015-04-01,1063.270029812037,27.9945,-82.4447,3342963.0,FL,Southeast,78.98654373007662
"Denver, CO",2015-04-01,1292.4440533536351,39.762,-104.8758,3005131.0,CO,West,81.83971549224403
"Baltimore, MD",2015-04-01,1338.0770685260804,39.3051,-76.6144,2834316.0,MD,Northest,92.18360678630768
"St. Louis, MO",2015-04-01,871.5422776108575,38.6359,-90.2451,2796999.0,MO,Midwest,87.87380684652462
"Orlando, FL",2015-04-01,1142.0592354805235,28.4773,-81.337,2817933.0,FL,Southeast,78.65619571133003
"Charlotte, NC",2015-04-01,1038.2939582454271,35.2083,-80.8303,2805115.0,NC,Southeast,79.74686007079445
"San Antonio, TX",2015-04-01,1033.17979679241,29.4632,-98.5238,2703999.0,TX,Southwest,86.31983302549709
"Portland, OR",2015-04-01,1171.6731149227833,45.5371,-122.65,2508050.0,OR,West,79.55683496215552
"Sacramento, CA",2015-04-01,1261.9716461548282,38.5677,-121.4685,2420608.0,CA,West,73.22863305333908
"Pittsburgh, PA",2015-04-01,993.3021033764652,40.4397,-79.9763,2422725.0,PA,Northest,87.72912177739637
"Cincinnati, OH",2015-04-01,877.7737965581946,39.1413,-84.506,2271479.0,OH,Midwest,80.77376695131208
"Austin, TX",2015-04-01,1213.0645587010986,30.3005,-97.7522,2473275.0,TX,Southwest,85.14572866305853
"Las Vegas, NV",2015-04-01,1004.3929382992468,36.2333,-115.2654,2336573.0,NV,West,77.43741279266804
"Kansas City, MO",2015-04-01,872.5657898947819,39.1238,-94.5541,2221343.0,MO,Midwest,84.06100269174169
"Columbus, OH",2015-04-01,879.0456473203609,39.9862,-82.9855,2180271.0,OH,Midwest,80.54681298838372
"Indianapolis, IN",2015-04-01,919.694263629636,39.7771,-86.1458,2138468.0,IN,Midwest,86.12690616274446
"Cleveland, OH",2015-04-01,834.8377699969566,41.4764,-81.6805,2063132.0,OH,Midwest,86.72957564601477
"San Jose, CA",2015-04-01,2494.849198582711,37.3012,-121.848,1945767.0,CA,West,84.26774317548666
"Nashville, TN",2015-04-01,1180.1252092637076,36.1715,-86.7842,2102573.0,TN,Southeast,82.71266655464188
"Virginia Beach, VA",2015-04-01,1105.3214614266838,36.7335,-76.0435,1787169.0,VA,Southeast,89.22770470964886
"Providence, RI",2015-04-01,1125.0678830009192,41.823,-71.4187,1677803.0,RI,Northest,80.90780418975059
"Jacksonville, FL",2015-04-01,1007.6497033799296,30.3322,-81.6749,1713240.0,FL,Southeast,82.34740830811906
"Milwaukee, WI",2015-04-01,898.4190651862104,43.0642,-87.9675,1560424.0,WI,Midwest,88.0556860424395
"Oklahoma City, OK",2015-04-01,936.1054351921982,35.4676,-97.5136,1477926.0,OK,Southwest,90.83869950108624
"Raleigh, NC",2015-04-01,1113.3784593865553,35.8324,-78.6429,1509231.0,NC,Southeast,84.23807272347568
"Memphis, TN",2015-04-01,908.8423680982372,35.1087,-89.9663,1335674.0,TN,Southeast,88.5708209438483
"Richmond, VA",2015-04-01,989.388335169216,37.5295,-77.4756,1349732.0,VA,Southeast,83.83085027349956
"Louisville, KY",2015-04-01,853.961395255143,38.1663,-85.6485,1365557.0,KY,Southeast,85.23052013500954
"Salt Lake City, UT",2015-04-01,970.8994495732236,40.7776,-111.9311,1267864.0,UT,West,79.1236075498353
"Hartford, CT",2015-04-01,1150.1136356870409,41.7661,-72.6834,1151543.0,CT,Northest,89.17574367124426
"Buffalo, NY",2015-04-01,797.4210020981888,42.9018,-78.8487,1155604.0,NY,Northest,83.82450907109133
"Birmingham, AL",2015-04-01,900.5929217257282,33.5279,-86.7971,1184290.0,AL,Southeast,88.30394782950268
"Grand Rapids, MI",2015-04-01,888.2775309970964,42.9619,-85.6562,1162950.0,MI,Midwest,74.82319699694887
"New York, NY",2015-05-01,2308.2491311143394,40.6943,-73.9249,19498249.0,NY,Northest,90.30105161057836
"Los Angeles, CA",2015-05-01,1855.9591374912543,34.1141,-118.4068,12799100.0,CA,West,79.48153709096067
"Chicago, IL",2015-05-01,1381.77588920402,41.8375,-87.6866,9262825.0,IL,Midwest,89.85483648701155
"Dallas, TX",2015-05-01,1115.2808538559125,32.7935,-96.7667,8100037.0,TX,Southwest,82.96772700382895
"Houston, TX",2015-05-01,1249.924628775875,29.786,-95.3885,7510253.0,TX,Southwest,91.39550413438357
"Washington, DC",2015-05-01,1738.1746570923635,38.9047,-77.0163,6304975.0,DC,Northest,90.49924971698178
"Philadelphia, PA",2015-05-01,1252.594698124496,40.0077,-75.1339,6246160.0,PA,Northest,87.32353818172362
"Miami, FL",2015-05-01,1509.332249975241,25.784,-80.2101,6183199.0,FL,Southeast,85.39414857271468
"Atlanta, GA",2015-05-01,1054.829222762876,33.7628,-84.422,6307261.0,GA,Southeast,76.80566062401032
"Boston, MA",2015-05-01,2026.18475768204,42.3188,-71.0852,4919179.0,MA,Northest,86.90599881193411
"Phoenix, AZ",2015-05-01,972.525031752376,33.5722,-112.0892,5070110.0,AZ,Southwest,74.60456699819218
"San Francisco, CA",2015-05-01,2343.530659334529,37.7558,-122.4449,4566961.0,CA,West,83.15849336012813
"Riverside, CA",2015-05-01,1354.3207809785129,33.9381,-117.3949,4688053.0,CA,West,77.5222181991314
"Detroit, MI",2015-05-01,882.9869023465686,42.3834,-83.1024,4342304.0,MI,Midwest,83.15415229361048
"Seattle, WA",2015-05-01,1389.856927982622,47.6211,-122.3244,4044837.0,WA,West,77.66485698975637
"Minneapolis, MN",2015-05-01,1169.2891267723337,44.9635,-93.2678,3712020.0,MN,Midwest,82.52681008966569
"San Diego, CA",2015-05-01,1702.474825552841,32.8313,-117.1222,3269973.0,CA,West,79.21566197403581
"Tampa, FL",2015-05-01,1071.0251884945408,27.9945,-82.4447,3342963.0,FL,Southeast,79.56264684897818
"Denver, CO",2015-05-01,1310.1638146798027,39.762,-104.8758,3005131.0,CO,West,82.96176036665162
"Baltimore, MD",2015-05-01,1342.5279928563143,39.3051,-76.6144,2834316.0,MD,Northest,92.49024253094818
"St. Louis, MO",2015-05-01,876.5845762180544,38.6359,-90.2451,2796999.0,MO,Midwest,88.38219982441427
"Orlando, FL",2015-05-01,1151.16013300025,28.4773,-81.337,2817933.0,FL,Southeast,79.28299505257363
"Charlotte, NC",2015-05-01,1049.2032029244494,35.2083,-80.8303,2805115.0,NC,Southeast,80.5847518855231
"San Antonio, TX",2015-05-01,1040.308173980612,29.4632,-98.5238,2703999.0,TX,Southwest,86.91539280177098
"Portland, OR",2015-05-01,1188.1125945302042,45.5371,-122.65,2508050.0,OR,West,80.67307886101591
"Sacramento, CA",2015-05-01,1272.671231349923,38.5677,-121.4685,2420608.0,CA,West,73.84949961596105
"Pittsburgh, PA",2015-05-01,998.813009426906,40.4397,-79.9763,2422725.0,PA,Northest,88.21584877249634
"Cincinnati, OH",2015-05-01,885.5185707318738,39.1413,-84.506,2271479.0,OH,Midwest,81.48645008977921
"Austin, TX",2015-05-01,1219.69804872193,30.3005,-97.7522,2473275.0,TX,Southwest,85.61133730470215
"Las Vegas, NV",2015-05-01,1010.758513114528,36.2333,-115.2654,2336573.0,NV,West,77.92819048119723
"Kansas City, MO",2015-05-01,876.8507164965001,39.1238,-94.5541,2221343.0,MO,Midwest,84.47380277028293
"Columbus, OH",2015-05-01,881.008008503304,39.9862,-82.9855,2180271.0,OH,Midwest,80.72662383176826
"Indianapolis, IN",2015-05-01,923.589077238886,39.7771,-86.1458,2138468.0,IN,Midwest,86.49164503250906
"Cleveland, OH",2015-05-01,842.6832877534812,41.4764,-81.6805,2063132.0,OH,Midwest,87.54463031915101
"San Jose, CA",2015-05-01,2530.454497454596,37.3012,-121.848,1945767.0,CA,West,85.47037224931081
"Nashville, TN",2015-05-01,1184.9313798107212,36.1715,-86.7842,2102573.0,TN,Southeast,83.04952164318618
"Virginia Beach, VA",2015-05-01,1109.7108499756,36.7335,-76.0435,1787169.0,VA,Southeast,89.58204060103115
"Providence, RI",2015-05-01,1127.1162117424276,41.823,-71.4187,1677803.0,RI,Northest,81.05510710652408
"Jacksonville, FL",2015-05-01,1011.1901592254438,30.3322,-81.6749,1713240.0,FL,Southeast,82.63674235161602
"Milwaukee, WI",2015-05-01,906.4140630709168,43.0642,-87.9675,1560424.0,WI,Midwest,88.83929032125093
"Oklahoma City, OK",2015-05-01,942.2284777824788,35.4676,-97.5136,1477926.0,OK,Southwest,91.43287319667711
"Raleigh, NC",2015-05-01,1119.145228532412,35.8324,-78.6429,1509231.0,NC,Southeast,84.6743857440777
"Memphis, TN",2015-05-01,910.1027853813516,35.1087,-89.9663,1335674.0,TN,Southeast,88.69365433874258
"Richmond, VA",2015-05-01,994.1561285015276,37.5295,-77.4756,1349732.0,VA,Southeast,84.23482528995015
"Louisville, KY",2015-05-01,862.2819493065366,38.1663,-85.6485,1365557.0,KY,Southeast,86.06096183126428
