id,renters,year,burdened_renters,extreme_burdened_renters,burdened_renters_pct,extreme_burdened_renters_pct
5125,12123.0,2023,3572.0,1658.0,0.29464653963540377,0.13676482718798977
5131,20295.0,2023,7859.0,4092.0,0.3872382360187238,0.2016260162601626
5143,44977.0,2023,20549.0,9567.0,0.4568779598461436,0.2127087177890922
5145,7922.0,2023,3348.0,1828.0,0.42262055036606916,0.2307498106538753
6001,280368.0,2023,134819.0,67606.0,0.48086443531358786,0.24113308223477714
6007,37524.0,2023,20415.0,13078.0,0.5440518068436201,0.3485236115552713
6013,130887.0,2023,65818.0,36452.0,0.5028612467242736,0.278499774614744
6017,18285.0,2023,7122.0,3470.0,0.38949958982772764,0.18977303800929723
6019,137399.0,2023,73167.0,42285.0,0.5325147926840806,0.3077533315380752
6023,25457.0,2023,12243.0,6949.0,0.4809286247397572,0.2729701064540205
6025,21913.0,2023,9102.0,4282.0,0.41536987176561857,0.19540911787523388
6029,116648.0,2023,57615.0,30790.0,0.49392188464440023,0.2639565187572869
6031,19971.0,2023,9483.0,4261.0,0.4748385158479796,0.2133593710880777
6033,6192.0,2023,3641.0,2055.0,0.588016795865633,0.3318798449612403
6037,1883168.0,2023,999745.0,533374.0,0.5308846581930025,0.2832322979150028
6039,16026.0,2023,9643.0,5942.0,0.6017097217022339,0.3707724946961188
6041,34912.0,2023,18127.0,11006.0,0.5192197525206232,0.31524977085242895
6045,13401.0,2023,6228.0,2287.0,0.46474143720617866,0.17065890605178718
6047,41762.0,2023,20458.0,12107.0,0.489871174752167,0.2899046980508596
6053,62113.0,2023,34472.0,17600.0,0.5549884887221677,0.2833545312575467
6055,19099.0,2023,9525.0,4536.0,0.49871721032514793,0.23749934551547203
6057,11284.0,2023,4275.0,2088.0,0.37885501595179016,0.18504076568592698
6059,469928.0,2023,251783.0,132485.0,0.5357905891966429,0.2819261674128803
6061,42841.0,2023,23530.0,10969.0,0.5492402138138699,0.25603977498190983
6065,244455.0,2023,136934.0,70615.0,0.5601603567118693,0.2888670716491788
6067,228201.0,2023,118138.0,61432.0,0.5176927357899396,0.26920127431518703
6069,6268.0,2023,2943.0,1609.0,0.46952776005105296,0.25670070197830247
6071,254272.0,2023,138369.0,72702.0,0.5441771016863831,0.2859221620941354
6073,537948.0,2023,293087.0,149980.0,0.5448240350368437,0.27880018143017543
6075,233851.0,2023,86212.0,44583.0,0.36866209680523065,0.19064703593313692
6077,92511.0,2023,46142.0,22373.0,0.4987731188723503,0.24184151073926344
6079,41375.0,2023,22456.0,12739.0,0.5427432024169184,0.30789123867069484
6081,108431.0,2023,47881.0,23903.0,0.44158035986018757,0.22044433787385526
6083,74295.0,2023,41583.0,24214.0,0.5597011911972541,0.3259169526886062
6085,305359.0,2023,131364.0,64217.0,0.430195278344506,0.21030000753211794
6087,39487.0,2023,19684.0,10635.0,0.4984931749689771,0.2693291463013144
6089,23121.0,2023,11729.0,4869.0,0.5072877470697634,0.21058777734527054
6095,56240.0,2023,29871.0,15975.0,0.5311344238975818,0.28405049786628733
6097,68236.0,2023,32712.0,15225.0,0.47939504074095785,0.2231226918342224
6099,69614.0,2023,31593.0,16890.0,0.45383112592294655,0.2426236101933519
6101,12714.0,2023,6179.0,2396.0,0.48599968538618843,0.1884536731162498
